sample_index,domain,scene_id,scan_id,image_relpath,region_id,row,column,x0,y0,x1,y1,valid_pixel_count,boundary_pixel_count,weight_sum,base_primary_error_sum,refined_primary_error_sum,primary_utility_sum,base_absrel_error_sum,refined_absrel_error_sum,absrel_utility_sum,rgb_gradient_score,base_gradient_score,patch_affine_scale,patch_affine_shift
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,10,2,2,512,512,768,768,65536,3426,79240.0,9987.994329336412,10294.733947980558,-306.73961864414633,8057.517705487427,8133.3575451537645,-75.83983966633872,0.00942233613285429,0.008788270412703586,0.3608526420654939,0.9654505131453988
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,11,2,3,768,512,1024,768,65536,3657,80164.0,17487.520179553005,17512.762013027885,-25.24183347488161,13947.11220653218,13940.363602327976,6.7486042042015315,0.013051226036984501,0.0031815623913424955,0.2669437191570022,1.026883001780688
1,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_030_040.png,0,0,0,0,0,256,256,65536,3848,80928.0,7737.844847133209,7737.9883124380285,-0.1434653048187755,6485.3531393681615,6489.354981491556,-4.001842123394113,0.00911156512000569,0.007606234046943563,0.47595523862803835,2.6107541454939285
1,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_030_040.png,1,0,1,256,0,512,256,65468,10507,107496.0,21595.066756983375,21912.3165075403,-317.24975055692846,10847.7206544833,10980.82314567417,-133.10249119087,0.010384250975668825,0.008688496743096179,0.6556584551455815,0.8064672524794303
1,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_030_040.png,2,0,2,512,0,768,256,65516,19316,142780.0,76032.10991548578,74796.68000079837,1235.429914687396,31374.491263946795,30912.859839520104,461.63142442668686,0.006646551260623729,0.0076892217712302684,0.2775943682820639,1.1138868911874094
1,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_030_040.png,3,0,3,768,0,1024,256,65509,10469,107385.0,102631.14017579862,102309.98041776921,321.15975802940693,61160.68141926479,60933.98837471883,226.69304454596107,0.008508517172452516,0.0073633190836476705,0.18544027060903956,0.8249820510880062
1,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_030_040.png,4,1,0,0,256,256,512,65536,0,65536.0,14956.142709264379,14957.133522473623,-0.9908132092439921,14956.142709264379,14957.133522473623,-0.9908132092439921,0.00030239138371819296,0.007733390657968924,0.6067296876653899,2.965906399025606
1,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_030_040.png,5,1,1,256,256,512,512,65521,793,68693.0,7986.524878071588,7983.961705406342,2.5631726652453373,7519.846055220577,7519.810807847932,0.035247372645700104,0.00551773288162325,0.008269878446648608,0.5242508728973525,1.9004769723116592
1,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_030_040.png,6,1,2,512,256,768,512,65496,14399,123092.0,41874.01484450596,41556.01395968195,318.0008848240159,19450.91908501726,19459.831949628006,-8.912864610747661,0.012029061508883453,0.017311839541558995,0.41872464158729134,1.0583027952673125
1,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_030_040.png,7,1,3,768,256,1024,512,65536,278,66648.0,80103.69266235332,80001.64987813482,102.04278421849492,78262.74900042167,78169.44191760547,93.30708281620275,0.006824279739594137,0.0031302254726699006,0.3241267698091109,0.5738342095030137
1,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_030_040.png,8,2,0,0,512,256,768,65536,4876,85040.0,27860.52295893362,28182.062591385366,-321.53963245174725,21662.952160591773,21660.381006553034,2.5711540387356457,0.011156618884891088,0.00822169419709628,0.36885492423654687,4.922473479011687
1,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_030_040.png,9,2,1,256,512,512,768,65536,4872,85024.0,23163.953446851752,23148.647933541426,15.305513310326354,17436.249562373232,17432.047045543615,4.2025168296194515,0.008720588101663429,0.008774788245318086,0.6338573055456526,2.6046394412994274
1,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_030_040.png,10,2,2,512,512,768,768,65536,7248,94528.0,12376.00154735411,12374.291551394012,1.709995960098027,8276.684293994556,8298.704420746528,-22.02012675197208,0.012959434245391005,0.012491631816217569,0.442867819959044,1.7430195092073055
1,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_030_040.png,11,2,3,768,512,1024,768,65534,2020,73614.0,15809.626183364731,15822.726635644725,-13.100452279992307,14220.64208934189,14234.912558767135,-14.270469425243824,0.014929741892947835,0.004456500370384052,0.5627584221628825,0.9886883588120465
2,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_060_000.png,0,0,0,0,0,256,256,65536,0,65536.0,10288.284619215541,10279.367359515505,8.917259700036068,10288.284619215541,10279.367359515505,8.917259700036068,0.007614974240022061,0.001535993402860296,0.4877203698616629,0.07126722335024926
2,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_060_000.png,1,0,1,256,0,512,256,65536,71,65820.0,4357.5850037851305,4388.092329622396,-30.507325837265746,4306.668310786046,4337.302233092183,-30.63392230613716,0.010672387012527054,0.0020562300974194575,0.1780385456978283,0.9118216688975316
2,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_060_000.png,2,0,2,512,0,768,256,65536,61,65780.0,5328.599823683486,5229.333171974574,99.2666517089124,5283.918176330812,5189.646859796,94.27131653481186,0.00997910175481817,0.0018444762966560288,0.15893465313909277,0.7779816002031665
2,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_060_000.png,3,0,3,768,0,1024,256,65536,16,65600.0,17673.547729393573,17550.544740968613,123.00298842495984,17650.0514859771,17525.471120784925,124.5803651921744,0.009193610168285888,0.0021553378110783237,0.1749711833330538,0.5444966869111172
2,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_060_000.png,4,1,0,0,256,256,512,65507,635,68047.0,4825.818790497711,4799.41049370816,26.408296789551954,4513.8452156252215,4490.877060396131,22.96815522908974,0.0355071348610127,0.003872135966934022,0.17949604503449557,1.121467592984028
2,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_060_000.png,5,1,1,256,256,512,512,65536,1326,70840.0,5010.921869842965,5065.23966599735,-54.317796154386336,4060.480824304597,4136.062027043836,-75.5812027392391,0.03327899759116061,0.0031940267553966424,0.18393914969617917,0.7882119870339727
2,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_060_000.png,6,1,2,512,256,768,512,65536,759,68572.0,15061.81509194098,15077.85787125479,-16.042779313809696,14301.853188895282,14305.48001164131,-3.6268227460286404,0.03301448309550189,0.0023401367903339507,0.21579817524876746,0.5355984049987063
2,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_060_000.png,7,1,3,768,256,1024,512,65526,1613,71978.0,36388.02236297269,36466.42107388675,-78.3987109140549,32771.6966526848,32679.64887346292,92.0477792218746,0.028892467567756354,0.0037076069829950903,0.4787262304503334,0.2604665273381754
2,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_060_000.png,8,2,0,0,512,256,768,65317,8062,97565.0,27088.580875070187,27152.67022242292,-64.08934735273536,15313.553059497055,16518.154302955358,-1204.6012434583045,0.02222438436395021,0.03035284577221834,1.7935833624937725,-1.4595294379677886
2,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_060_000.png,9,2,1,256,512,512,768,65527,18939,141283.0,46382.042671627685,45245.45061433335,1136.5920572943417,19375.17695017394,19306.358044595516,68.81890557842335,0.02110563740805754,0.03091282784671698,1.4269093296195894,0.19442280142318646
2,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_060_000.png,10,2,2,512,512,768,768,65482,19714,144338.0,60000.09328433698,58081.54863479831,1918.544649538666,27507.05857549516,26515.791214896468,991.2673605986963,0.022368034842430357,0.03261720843516393,1.2752694705731031,0.7581542455617029
2,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_060_000.png,11,2,3,768,512,1024,768,65508,27413,175160.0,74973.51475288998,73302.07554592879,1671.4392069611708,29743.72656268548,28674.550141344047,1069.1764213414303,0.018483160745753825,0.034546037836409395,0.9961466875682092,1.111849647852359
3,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_140_050.png,0,0,0,0,0,256,256,65535,9347,102923.0,87620.76628470203,88425.87251337826,-805.1062286762369,56922.513919237346,56825.15324036652,97.36067887082899,0.013399945375275248,0.004308876805151468,0.08457531143719935,0.5899417989619374
3,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_140_050.png,1,0,1,256,0,512,256,65536,7184,94272.0,62601.464245090545,63108.03899929274,-506.5747542021948,42218.83071377007,42097.130905332466,121.699808437608,0.012553854941011435,0.003335695236954504,0.031195576372593892,0.8188115752561147
3,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_140_050.png,2,0,2,512,0,768,256,65536,18887,141084.0,54966.02256347603,53793.17086214834,1172.8517013276892,26113.680127729334,25063.305090092384,1050.3750376369505,0.01501392444612886,0.022796618840922822,0.5475883194051137,0.6432640661252063
3,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_140_050.png,3,0,3,768,0,1024,256,65499,8963,101351.0,38433.34562916527,38439.1915820244,-5.845952859136862,25776.626575407303,25774.49441904742,2.132156359882398,0.010723367078961979,0.015936923528602636,0.7272190562866704,1.4939461140175154
3,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_140_050.png,4,1,0,0,256,256,512,65429,4474,83325.0,67765.2560735394,67670.25831813368,94.99775540572242,50370.353799252625,50378.74026823946,-8.386468986830423,0.00980915863921604,0.0026674416828335926,0.34409651711235767,0.06435352811406223
3,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_140_050.png,5,1,1,256,256,512,512,65536,611,67980.0,26178.857094078965,26196.110936710054,-17.2538426310865,24745.115239681523,24768.540446414532,-23.425206733006508,0.008805519417889679,0.002647102512022757,0.38673016308105534,0.14348118347250144
3,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_140_050.png,6,1,2,512,256,768,512,65536,10797,108724.0,35114.55862550061,34553.02840345666,561.5302220439562,18647.717020095082,18453.661372550923,194.05564754415744,0.011916622230239527,0.01973438165248936,0.7081142362552157,0.26511176756159166
3,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_140_050.png,7,1,3,768,256,1024,512,65316,6202,90124.0,39256.48617479255,39214.77758721424,41.708587578320966,29413.156351010257,29439.12535294307,-25.969001932812716,0.007967342918634305,0.0173435708685099,0.8582288523501256,1.4951098048995108
3,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_140_050.png,8,2,0,0,512,256,768,65536,0,65536.0,12731.756487491331,12719.183700325097,12.572787166233729,12731.756487491331,12719.183700325097,12.572787166233729,0.006094606439262233,0.003073073767315959,0.3020922031344209,0.47864369528374695
3,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_140_050.png,9,2,1,256,512,512,768,65536,0,65536.0,4770.30600026637,4761.594600655337,8.71139961103315,4770.30600026637,4761.594600655337,8.71139961103315,0.006848989974950203,0.0030130432914167405,0.26835333775494424,0.9389733537144079
3,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_140_050.png,10,2,2,512,512,768,768,65536,5362,86984.0,24122.266689342567,24110.7508498444,11.515839498164967,14903.681846479976,15088.52628794629,-184.84444146631398,0.010051329323261873,0.013463067027164032,0.8493065233257467,0.9274932588132991
3,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_140_050.png,11,2,3,768,512,1024,768,65536,6780,92656.0,43717.47260183015,43855.9076472344,-138.43504540425192,32191.907504546136,32239.318707599563,-47.41120305343297,0.007316084899125511,0.013043439127196734,0.6686496059443747,2.930617842193195
4,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,0,0,0,0,0,256,256,65536,254,66552.0,59329.384461560556,59416.730525171006,-87.34606361045603,57900.687245376386,57974.550415883845,-73.86317050746298,0.006983546214951187,0.003006689362658667,0.3996359130965626,0.15187373123651235
4,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,1,0,1,256,0,512,256,65536,0,65536.0,17745.36259103362,17756.378474106197,-11.01588307258024,17745.36259103362,17756.378474106197,-11.01588307258024,0.006040988544086506,0.0027656669166062774,0.4064300293987474,0.6963835980783855
4,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,2,0,2,512,0,768,256,65536,30,65656.0,3878.8646950025495,3882.089514246056,-3.2248192435053777,3872.675084120352,3875.9334399137515,-3.25835579339937,0.0063841236480746385,0.0030021414941007606,0.8163719182256626,0.4576022164575457
4,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,3,0,3,768,0,1024,256,65512,5813,88764.0,22227.139417075687,22167.174741949442,59.96467512624494,14569.324509245747,14576.56414384488,-7.239634599131113,0.011017990149489116,0.017001749034152757,0.7002174455725569,1.8725600981549353
4,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,4,1,0,0,256,256,512,65535,10171,106219.0,59373.64941578449,59218.9252640427,154.72415174179184,31368.87344931854,31378.966861584417,-10.093412265875916,0.012946878876435279,0.004007662697688623,0.4324470161905755,0.40264530922515457
4,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,5,1,1,256,256,512,512,65536,13526,119640.0,37651.823304052254,37483.59840763257,168.22489641969165,11074.998782692986,11074.807518431542,0.19126426144659847,0.012637278196108177,0.004113294639792249,0.5115655474469412,0.6146366744754391
4,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,6,1,2,512,256,768,512,65521,5634,88057.0,11331.209215132109,11665.331530395852,-334.122315263741,7090.038862178864,7170.485703604617,-80.44684142575302,0.011769786449120028,0.005224361091559261,0.5597354371747414,1.2262283757788124
4,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,7,1,3,768,256,1024,512,65527,3413,79179.0,17804.478469764406,17788.904013752795,15.57445601160856,15156.617850959703,15154.066713851877,2.551137107826336,0.007395250652851777,0.005272813484800283,0.6394167422286859,2.3308103404782496
4,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,8,2,0,0,512,256,768,65523,10909,109159.0,31012.15848772192,31088.198518691934,-76.04003097000879,12028.2308182456,12055.508774703721,-27.27795645812038,0.01649476512839578,0.00420695036536572,0.1062643144387578,1.6607488885783834
4,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,9,2,1,256,512,512,768,65535,20551,147739.0,25948.69746206476,26125.135161936312,-176.43769987155235,8005.533935873924,8004.4477213285245,1.0862145453996632,0.016312034751621782,0.006203767881997579,0.22399275295125065,1.8590352843047884
4,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,10,2,2,512,512,768,768,65536,5764,88592.0,10688.954883947103,10774.71252376803,-85.75763982092778,8080.944709951673,8040.344677610679,40.60003234099571,0.013576188296503306,0.0064142056184327036,0.7126440172472753,1.397999005922232
4,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,11,2,3,768,512,1024,768,65536,2573,75828.0,22053.09846223722,22341.7352618703,-288.63679963308095,19467.692837856004,19436.7094931373,30.983344718706043,0.011934545350415774,0.0036263860123236097,2.2637240768957794,0.46995663637751695
5,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,0,0,0,0,0,256,256,63737,4881,83261.0,67713.55908316872,67801.85928404503,-88.30020087632393,46900.10775791135,46960.59671593283,-60.488958021478716,0.011987703651254959,0.0019735947443359457,0.11760341414564186,0.38116457974171186
5,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,1,0,1,256,0,512,256,63966,4370,81446.0,37428.01562234898,37379.19008232851,48.825540020473156,23320.665593317062,23325.394010897726,-4.728417580668759,0.014208194776316173,0.002022955125251377,0.15160295423939596,0.4704876704642072
5,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,2,0,2,512,0,768,256,64786,4135,81326.0,13956.866874552292,14020.058175558994,-63.191301006703384,7737.589750276438,7782.542973825578,-44.953223549139,0.018112754332723927,0.002209758871189311,0.21959521702340498,0.6259616794411836
5,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,3,0,3,768,0,1024,256,65465,2052,73673.0,7862.536995851586,7818.640642496586,43.89635335499989,6627.088033724078,6592.295399914671,34.79263380940725,0.01436407555816925,0.002353611255669969,0.2189164137060795,0.9934128079864561
5,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,4,1,0,0,256,256,512,65505,3119,77981.0,32983.3418112565,33121.335956086914,-137.99414483042182,24220.255079094935,24303.501426481915,-83.24634738697843,0.015462380696963623,0.002323249920445113,0.2060719028474484,0.49784319183431147
5,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,5,1,1,256,256,512,512,46026,10300,87226.0,27803.12586971062,27722.153868241257,80.97200146936714,10568.876310210313,10557.114747737109,11.761562473202801,0.01705485884287205,0.0025770248013083042,0.23526705011608542,0.4932101879217473
5,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,6,1,2,512,256,768,512,50823,4476,68727.0,6759.174382089307,6794.6552980982715,-35.48091600896373,3454.8715482628595,3483.73446884685,-28.862920583990515,0.017048516228492964,0.00278385148147243,0.233996563502628,0.8439861622068011
5,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,7,1,3,768,256,1024,512,45764,4946,65548.0,11723.497534021255,11726.9031003628,-3.4055663415470745,8813.71907927628,8809.525245598563,4.1938336777169845,0.012014910311452576,0.0026799169470732805,0.22582461662289777,1.1158549135824531
5,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,8,2,0,0,512,256,768,65345,7904,96961.0,37387.744968473846,37449.27588553083,-61.530917056982815,24978.46083416405,24801.634253020813,176.8265811432368,0.01667427039697977,0.02857272639344545,0.9838856279623172,0.7644635529542039
5,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,9,2,1,256,512,512,768,58883,9034,95019.0,35561.16148601119,35747.04805405528,-185.8865680440886,21554.289468106257,21486.281575586618,68.00789251963613,0.021957228674344662,0.028429743642746003,0.9654295300240185,0.830014708964748
5,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,10,2,2,512,512,768,768,50600,8968,86472.0,31038.977517794876,31288.278461337246,-249.3009435423745,17804.17701747098,17775.967689313256,28.2093281577256,0.022645492324504475,0.02535483922727717,0.8229252481737456,1.2213037221699485
5,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,11,2,3,768,512,1024,768,47124,4614,65580.0,23568.431875640556,23731.76540735845,-163.33353171789375,17064.888437353115,17048.304872948316,16.583564404800438,0.018414812855311272,0.019245300226070357,0.9956480549149754,1.3027164147090016
6,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_240_000.png,0,0,0,0,0,256,256,64356,8815,99616.0,422214.65447089315,383475.59604225797,38739.05842863518,329534.3991379224,301069.1790398788,28465.22009804357,0.026112823192064077,0.014187333113383252,0.39175177173129,0.08588418221885492
6,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_240_000.png,1,0,1,256,0,512,256,65071,8738,100023.0,407293.62394898507,400753.9985917569,6539.625357228115,263664.5856848152,258192.261151087,5472.324533728153,0.019741831192100514,0.011184619387275937,0.3610492696823617,0.009515527202169428
6,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_240_000.png,2,0,2,512,0,768,256,65349,7012,93397.0,144480.82060246734,143396.92846547277,1083.8921369945542,98389.8494083007,98095.32968942297,294.5197188777099,0.01707972323703548,0.007324214815430958,0.2989330132565092,0.15547917698810637
6,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_240_000.png,3,0,3,768,0,1024,256,65226,5431,86950.0,102431.42897038191,101556.50797063707,874.9209997448681,71417.11929894058,71353.22925204776,63.8900468928031,0.016083039099459056,0.008240852436776165,0.27587212624939145,0.35478339479398413
6,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_240_000.png,4,1,0,0,256,256,512,64777,6367,90245.0,16334.654192598906,16098.917872889684,235.73631970922048,7591.70990437728,7437.324472407561,154.38543196972037,0.019975018732351676,0.021128914655843593,0.5887225877519404,1.4170175722882132
6,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_240_000.png,5,1,1,256,256,512,512,65156,5648,87748.0,16715.956542984582,16268.37271902048,447.58382396410184,7433.4882604183595,7278.07085301044,155.41740740791917,0.017995246267747872,0.019164129410560206,0.611378361875785,1.263582322359784
6,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_240_000.png,6,1,2,512,256,768,512,65252,7903,96864.0,39828.92744353478,38720.07741664516,1108.8500268896184,14530.707753607312,14132.314349228114,398.3934043791979,0.01828240828643931,0.022367805595721067,0.5723188424164236,1.0332223104946079
